Serial Number,Location,City,Lat,Lon,Installation Type,ASTI Serial Code,Date of Deployment
173457,ASTI,Quezon City,14.647210,121.072760,Roof Deck,ULAT-P01,28-Jun-18
173456,MMDA EFCOS,"Rosario, Pasig City",14.598630,121.089050,Roof Deck,ULAT-PO2,21-Nov-18
173458,Tapayan Pumping Station,Rizal,14.541330,121.115720,Roof Deck,ULAT-PO3,22-Nov-18
173459,San Andres Pumping Station,Manila,14.583670,121.006610,Roof Deck,ULAT-P04,23-Nov-18
174730,DOST Compound ,"Bicutan, Taguig",14.489550,121.052190,Ground,ULAT-P05,22-Jan-19
174722,De La Salle Araneta University,Malabon,14.670540,120.997370,Ground ,ULAT-P06,24-Jan-19
174723,MMDA Catmon,Malabon,14.670090,120.955030,Ground ,ULAT-P07,28-Jan-19
174729,CAAP,Pasay,14.514250,121.004810,Roof Deck,ULAT-P08,29-Jan-19
174725,Brgy. Punturin,Valenzuela,14.740870,120.989890,Ground ,ULAT-P09,11-Feb-19
174727,Brgy. Ugong,Valenzuela,14.694030,121.008680,Ground ,ULAT-P10,11-Feb-19
174734,VCDRRMO BLDG,Valenzuela,14.693410,120.968340,Roof Deck,ULAT-P11,13-Feb-19
174733,Dr.Filemon HS,Las Piñas City,14.438910,121.009460,Roof Deck,ULAT-P12,18-Feb-19
174724,Brgy. Elias Aldana,Las Piñas City,14.477710,120.979880,Roof Deck,ULAT-P13,20-Feb-19
174726,Las Piñas Science High School,Las Piñas City,14.433080,120.984460,Ground ,ULAT-P14,21-Feb-19
174728,MMDA Balut pumping station,"Tondo, Manila",14.377800,120.581200,Roof Deck,ULAT-P15,28-Feb-19
181290,RAVE Pasig City,Pasig City,14.573840,121.097630,Ground ,ULAT-P16,06-Mar-19
174732,RED Pasig City,Pasig City,14.570810,121.080810,Roofdeck,ULAT-P17,07-Mar-19
181289,MMDA Libertad PS,Pasay City,14.544350,120.989040,Roofdeck,ULAT-P18,11-Mar-19
174731,Brgy. Bagbaguin,Valenzuela City,14.713960,121.000780,Ground ,ULAT-P19,13-Mar-19
181288,Centennial Park,Navotas City,14.650670,120.948340,Roofdeck,ULAT-P20,14-Mar-19
181283,Bayanan Elementary School,Muntinlupa City,14.411990,121.052130,Roofdeck,ULAT-P21,02-Apr-19
181287,Unibersidad de Manila (UDM),Manila,14.591890,120.982160,Roofdeck,ULAT-P22,22-May-19
181286,Anabu I-B,"Imus, Cavite",14.396970,120.940460,Roofdeck,ULAT-P23,06-Jun-19
181285,Xavier School,San Juan,14.604050,121.039700,Roofdeck,ULAT-P24,08-Jul-19
181274,"E. Library, Technological College, Pateros City",Pateros,14.553030,121.068780,Roofdeck,ULAT-P25,11-Jul-19
181284,C3 Bldg. Mandaluyong,Mandaluyong,14.577730,121.034000,Roofdeck,ULAT-P26,15-Aug-19
181294,Colegio de Muntinlupa,Muntinlupa City,14.457580,121.050330,Roofdeck,ULAT-P27,03-Sep-19
181292,NAMRIA,Taguig City,14.535350,121.040720,Roofdeck,ULAT-P28,05-Sep-19
181272,Technological University of the Philippines (TUP),Taguig City,14.509280,121.035550,Ground ,ULAT-P29,02-Oct-19
181293,NBP Reservation Sunken Garden,Muntinlupa City,14.384200,121.033860,Ground ,ULAT-P30,11-Oct-19
174735,PAGASA Science Garden,Quezon City,14.643480,121.043740,Ground ,ULAT-P31,17-Oct-19
181291,"Greenheights Subdivision,",Parañaque City,14.473060,121.018480,Ground ,ULAT-P32,15-Nov-19
181271,Quezon City Science High School,Quezon City,14.659420,121.029810,Ground ,ULAT-P33,16-Dec-19
181273,Brgy. Nagkaisang Nayon,Quezon City,14.719200,121.028560,Roofdeck,ULAT-P34,28-Jan-20
